symbol,company,sector
EMAMILTD.NS,Emami,FMCG
TATACONSUM.NS,Tata Consumer Products,FMCG
VBL.NS,Varun Beverages,FMCG
MARUTI.NS,Maruti Suzuki,Auto
M&M.NS,Mahindra & Mahindra,Auto
BAJAJ-AUTO.NS,Bajaj Auto,Auto
HEROMOTOCO.NS,Hero MotoCorp,Auto
EICHERMOT.NS,Eicher Motors,Auto
TVSMOTOR.NS,TVS Motor,Auto
ASHOKLEY.NS,Ashok Leyland,Auto
MOTHERSON.NS,Samvardhana Motherson,Auto
BOSCHLTD.NS,Bosch,Auto
EXIDEIND.NS,Exide Industries,Auto
AMARAJABAT.NS,Amara Raja Energy,Auto
MRF.NS,MRF,Auto
APOLLOTYRE.NS,Apollo Tyres,Auto
BAJFINANCE.NS,Bajaj Finance,Financial Services
BAJAJFINSV.NS,Bajaj Finserv,Financial Services
HDFCLIFE.NS,HDFC Life Insurance,Financial Services
SBILIFE.NS,SBI Life Insurance,Financial Services
ICICIPRULI.NS,ICICI Prudential Life,Financial Services
CHOLAFIN.NS,Cholamandalam Investment,Financial Services
MUTHOOTFIN.NS,Muthoot Finance,Financial Services
MANAPPURAM.NS,Manappuram Finance,Financial Services
LICHSGFIN.NS,LIC Housing Finance,Financial Services
SUNPHARMA.NS,Sun Pharmaceutical,Pharma
DRREDDY.NS,Dr Reddy's Laboratories,Pharma
CIPLA.NS,Cipla,Pharma
DIVISLAB.NS,Divi's Laboratories,Pharma
BIOCON.NS,Biocon,Pharma
LUPIN.NS,Lupin,Pharma
AUROPHARMA.NS,Aurobindo Pharma,Pharma
TORNTPHARM.NS,Torrent Pharmaceuticals,Pharma
ALKEM.NS,Alkem Laboratories,Pharma
IPCALAB.NS,IPCA Laboratories,Pharma
GLENMARK.NS,Glenmark Pharmaceuticals,Pharma
NATCOPHARM.NS,Natco Pharma,Pharma
APOLLOHOSP.NS,Apollo Hospitals,Healthcare
FORTIS.NS,Fortis Healthcare,Healthcare
MAXHEALTH.NS,Max Healthcare,Healthcare
METROPOLIS.NS,Metropolis Healthcare,Healthcare
LALPATHLAB.NS,Dr Lal PathLabs,Healthcare
ASTER.NS,Aster DM Healthcare,Healthcare
ONGC.NS,ONGC,Energy
BPCL.NS,BPCL,Energy
IOC.NS,Indian Oil,Energy
HINDPETRO.NS,HPCL,Energy
GAIL.NS,GAIL India,Energy
POWERGRID.NS,Power Grid,Energy
NTPC.NS,NTPC,Energy
TATAPOWER.NS,Tata Power,Energy
CESC.NS,CESC,Energy
ADANIGREEN.NS,Adani Green Energy,Renewable Energy
WAAREEENER.NS,Waaree Energies,Renewable Energy
SUZLON.NS,Suzlon Energy,Renewable Energy
ADANIPORTS.NS,Adani Ports,Infrastructure
ADANIENT.NS,Adani Enterprises,Infrastructure
DLF.NS,DLF,Real Estate
GODREJPROP.NS,Godrej Properties,Real Estate
OBEROIRLTY.NS,Oberoi Realty,Real Estate
PHOENIXLTD.NS,Phoenix Mills,Real Estate
PRESTIGE.NS,Prestige Estates,Real Estate
TATASTEEL.NS,Tata Steel,Metals
JSWSTEEL.NS,JSW Steel,Metals
HINDALCO.NS,Hindalco Industries,Metals
VEDL.NS,Vedanta,Metals
COALINDIA.NS,Coal India,Metals
NMDC.NS,NMDC,Metals
SAIL.NS,SAIL,Metals
NATIONALUM.NS,National Aluminium,Metals
HINDCOPPER.NS,Hindustan Copper,Metals
NAUKRI.NS,Info Edge,Technology
ZOMATO.NS,Zomato,Technology
PAYTM.NS,Paytm,Technology
POLICYBZR.NS,PB Fintech,Technology
INDIAMART.NS,IndiaMART,Technology
IRCTC.NS,IRCTC,Travel & Logistics
INTERGLOBE.NS,IndiGo,Travel & Logistics
BHARTIARTL.NS,Bharti Airtel,Telecom
IDEA.NS,Vodafone Idea,Telecom
HFCL.NS,HFCL,Telecom
TORNTPOWER.NS,Torrent Power,Utilities
DMART.NS,Avenue Supermarts,Retail
TATACOMM.NS,Tata Communications,IT
MFSL.NS,Max Financial Services,Financial Services
ICICIGI.NS,ICICI Lombard,Financial Services
NIACL.NS,New India Assurance,Financial Services
IRFC.NS,Indian Railway Finance,Infrastructure
PFC.NS,Power Finance Corporation,Infrastructure
RECLTD.NS,REC Limited,Infrastructure
HUDCO.NS,HUDCO,Infrastructure
LICI.NS,LIC of India,Financial Services
